sentence,model_output
"The System must allow changes to security attributes for groups or users (such as access rights, security level, privileges, password allocation and management) to be made only by super-user.",Super-user must change group/user settings.
"If a user requests access to, or searches for, a case which he does not have the right to access, the System must provide one of the following responses (selectable at configuration time):",System gives wrong answer if you don't have permission.
"If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access.",User gets only what they can see.
"If the System allows users to make unauthorised attempts to access cases, it must log these in the audit trail.",System logs unauthorized case access attempts.
"Any access to cases, and all other activities involving the cases and related documents or data should also need to be stored in the audit trail to ensure legal admissibility and to assist in data recovery.",Store all case activity and related files in an audit trail for legal proof and easy recovery.
"All error messages produced by the System must be meaningful, so that they can be appropriately acted upon by the users who are likely to see them.",System errors must make sense for users to fix them.
"Ideally, each error message will be accompanied by explanatory text and an indication of the action(s) which the user can take in response to the error.",Each error shows what went wrong and how to fix it.
"The System must employ a single set of user interface rules, or a small number of sets to provide a familiar and common look and feel for the application.",The system should use one set of rules for the user interface so it looks the same everywhere.
"The System must be able to display several entities (cases, suspects) simultaneously.",System show many things at once.
"The System user interface must be suitable for users with special needs; that is, compatible with specialist software that may be used and with appropriate interface guidelines",The system should work for people with special needs.
The System must provide End User and Administrator functions which are easy to use and intuitive throughout.,The system should be easy to use for everyone.
The System must allow persistent defaults for data entry where desirable.,The system should let you keep settings if you want.
Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g.,Transactions should be simple.
"Where the System employs a graphical user interface, it must allow users to customise it.",The system lets users change how it looks.
The user interfaces should be designed to make them user-intuitive.,Make it easy to use.
Application user interfaces to meet its requirements and recommendations.,User interface meets needs.
Content accessibility WCAG 1.0 shall be the standard used for guidance on content accessibility.,WCAG 1.0 is the standard for making content accessible.
The application logo to be available on all pages as a link to the home page.,Logo is on every page.
"Providing text equivalents for non-text media objects: All non-text media objects, such as graphical images or video, should be provided with alternative equivalent textual descriptions and/or with equivalent text-based functionality.",Give pictures and videos a written description.
"Making navigation self-descriptive: Navigation should be designed to help users understand where they are, where they have been and where they can go next.","Navigation helps you know where you are, where you've been, and where you're going."
Showing users where they are: Each presentation segment (page or window) should provide the user with a clear and sufficient indication of where he or she is in the navigation structure and of the current segment position with respect to the overall structure.,Show users where they are.
Offering alternative access paths: Alternative access paths for navigating to a specific unit of content should be offered to support different navigation strategies.,Give different ways to get to something you want.
"Minimizing navigation effort: The number of navigation steps needed to reach a certain piece of content should be minimized as long as different mental models, navigation strategies and tasks of the user are taken into account.",Make it easy for users to find what they need by keeping the number of clicks low.
Splash screens should be avoided unless they provide useful content or feedback about the application state to the user.,Don't use splash screens unless they help the user.
"If a splash screen is used, a navigation option to skip it should be offered.",Show a way to skip the first page if there's one.
Avoiding opening unnecessary windows: Additional windows such as new browser windows or pop-up windows should only be opened if this supports the user’s task.,Only open new windows if it helps you do something.
"Opening new windows can distract, confuse or impede users for a variety of reasons.",New windows can be distracting.
"They can superimpose the primary window, hiding relevant information.",They hide important info.
They could make it cognitively more difficult to understand the navigation structure with negative effects on both usability and accessibility.,Make hard to understand navigation structure to hurt usability and accessibility.
This may be done by placing important information at the top and providing links to information that is further down the page.,Put important things first and link to others below.
Horizontal scrolling should be avoided wherever possible.,Don't scroll sideways.
Designing for input device independence: User interfaces should be designed to allow activation of controls by a variety of input devices.,Make user interfaces work with different ways to click buttons.
"The ability to choose between different input devices for activating controls such as links, fields and buttons is important both for users who prefer a certain input mode, mobile users and users with disabilities.",Choose how you use controls is important.
"In general, device independence can be achieved if the functionality is operable via a keyboard.",Device independence works with a keyboard.
Making user interfaces robust: User interfaces should be designed to be as robust as possible in the face of changing technology.,Make UIs strong.
This encompasses being able to present content containing newer technologies by older user agents as well as designing content to be usable with future technologies.,Make old and new technology work together.
Acceptable opening / download times: Application pages should be designed and implemented so that there are acceptable opening times and download times for the expected range of technical contexts of use (e.g.,Pages should load quickly.
"This is particularly important for frequently accessed pages or pages that are important for user navigation and exploration, such as the home page.",This is important for often-used pages.
Minimizing user errors: Potential user errors as well as the effort needed to recover from errors should be minimized.,Minimize mistakes and fixing them.
"Providing clear error messages: The content of error messages shown on the pages or special error pages should clearly state the reason why the error occurred and, if possible, actions the user can take to resolve the error.",Error messages should say what went wrong and how to fix it.
Users expect error messages to be in the same language as the user interface.,Error messages should be in the same language as the screen.
"Using appropriate formats, units of measurement or currency: When designing user interfaces for use by diverse groups, input and output of information elements such as currency, units of measurement, temperatures, date and time, phone numbers, address or postal codes should be designed so that they are usable.","Use right formats for money, sizes, dates, etc."
"Making text resizable by the user: Text should be able to be resized by the user, using functions provided by the user agent or other appropriate means i.e.",Text can be made bigger or smaller by the person reading it.
Text quality: The quality of textual content with respect to spelling and grammar should be sufficient so as not to impede readability.,Text should be spelled and grammared correctly so it's easy to read.
"Writing style: The reading and understanding of the textual content on the screen should be supported by suitable means, including the use of short sentences, the division of the text into shorter chunks or the presentation of content items in the form of bullet points.","Use short sentences, break up text, and use bullet points to help readers understand what's on the screen."
"Supporting text skimming: Fast skimming of text should be supported by the provision of clear links, bulleted lists, highlighted keywords, logical headings, and short phrases and sentences.","Support fast reading with clear links, lists, and simple language."
Readability of text: Text presented on the pages should be readable taking into account the expected display characteristics and spatial arrangement.,Text should be easy to read considering how it will look on the page.
Distinguishable within-page links: Within-page links should be clearly distinguishable from other links that lead to a different page.,Links on same page look different from others.
Avoiding link overload: Text pages containing large proportions of links should be formatted so that the presence of links does not impede the readability of the text.,Text with many links should be made easy to read.
"Using familiar terminology for navigation links: Navigation links — particularly links representing the main navigation structure — should be labelled with terms that are familiar to the user, based on his/her general knowledge, prior experience in the application domain or experience of using other systems.",Use simple words for navigation buttons.
"Using descriptive link labels: The target or purpose of a link should be directly indicated by its label, avoiding generic labels such as “go” or “click here” except where the purpose of the link is clear from its context on the page or the labels have commonly understood semantics in the particular application domain.",Use specific words for links to show what they do.
Using appropriate terminology specific to the user’s tasks and information needs is important for making the content easy to understand.,Use right words to make it easy to read.
Marking links opening new windows: Links that open new browser windows or pop-up windows should be clearly marked.,Links to new windows should be clear.
Distinguishing navigation links from controls: Navigation links should be clearly distinguishable from controls activating some action.,Navigation links must look different from buttons that do something.
"Typical action types in user interfaces include manipulating application data, performing searches, communication actions, such as opening a new e-mail window or starting a chat function, and presentation-related actions, such as sorting a list of search results.","Users do things like open emails, start chats, sort lists."
"Providing printable document versions: If a document is either too long, dispersed over several pages or in a specific layout that is not suitable for online reading, a printer-friendly version of the document should be provided that prints the content in a form acceptable to the user (e.g.",Print documents so users can print them easily.
space filled only with the background color should be used in such a way that it does not impair the visual skimming of the page.,Leave empty space blank so readers can quickly see what's on the page.
"While white space is an important means of visually organizing the different content elements on a page, if the distance between the blocks of information displayed becomes too large, rapid skimming of the page can be impeded.","Space helps organize text. If there's too much space, it's hard to quickly read."
Selecting appropriate page lengths The length of a page should be selected so as to support the primary purpose and use of the page.,Choose a page length that helps with what you want to do on the page.
"Short pages are generally more appropriate for homepages, navigation pages, or overview pages that need to be read quickly.",Short pages are good for quick reads.
Longer pages can be more appropriate when users want to read the content without interruptions or when the page needs to match a paper counterpart.,Longer pages are good for reading without breaks or matching a printed version.
"Using colour: Colour should be used with care, taking into account human capabilities and restrictions in perceiving colour, and not as the only means of conveying information.",Use color carefully.
"Using frames with care: If frames are used, care should be taken to avoid possible problems, for example, those involving the use of the back button, bookmarking of pages, or scrolling of information.",Use frames carefully.
"When frames are used, it is important to title each frame, and to describe its purpose and how frames relate to one another other.",Use titles for each frame and say what they do.
"Providing alternatives to frame-based presentation: If frames are used, an alternative way of presenting relevant information without frames should be provided.",Give another way to show important info if using frames.
"Providing alternative text-only pages: When style sheets and/or frames are turned off it should be possible for the user to read and understand the page; alternatively, the user should be provided with an equivalent alternative text-only page.","When styles and frames are off, users can read a simple version of the page or get another one that is just text."
"Consistent page layout: Pages should be designed using consistent layout schemes, supporting the user in finding similar information at the same position on different pages.",Pages look the same so you can find things easily.
Overall layout schemes apply to all pages and are preferable when all pages have a similar structure.,All pages follow same plan.
"In such cases, pages can usually be grouped in different categories, using one layout scheme for each category consistently.",Pages are grouped by category with same layout.
Placing title information consistently: Page titles should be placed in a consistent location on the different pages.,Put title on same place every page.
"Observing principles of human perception When designing application pages, the general principles of human perception should be taken into account.",Consider human perception when designing app pages.
Practical guidelines for presenting information to the user are to be found in ISO 9241-12.,ISO 9241-12 has guidelines for showing info to users.
Guidance on selecting and using different forms of interaction techniques is to be found in ISO 9241-14 to ISO 9241-17.,Guidance is in ISO 9241-14 to ISO 9241-17.
"In addition, when designing multimedia information presentations, the design principles and recommendations described in ISO 14915-1 to ISO 14915-3 should be taken into account.",Follow ISO rules when making multimedia presentations.
Linking back to the home page or landmark pages: Each page should contain a link leading to the home page of the application or to a landmark page that is easy to recognize for the user.,Each page has a link to the main page or a special page that's easy to find.
Providing a site map: A separate navigation overview such as a site map should be provided for application showing the structure of the site in an overview form.,Show a site map.
"Consistency between navigation components and content: If navigation components (or overviews) are shown in conjunction with associated content, consistency between the navigation component and the content shown should be maintained by indicating in the navigation component (e.g.",Navigation matches content.
highlighting) the topic currently visible in the content area.,Highlighting the current topic.
Placing navigation components consistently: Navigation components should be placed consistently on the pages or in the framesets in the pages of the application.,Put navigation parts in same place always.
Individualization and user adaptation : Adapting the content and the navigation of a user interface to individual users or user groups can be a useful mechanism for providing information that is of interest to the users and for making access to relevant information more efficient.,Adapt content and navigation to each user for better info and faster access.
User adaptation can also be important for making the user interface more accessible.,Making it easy to use is important too.
"such as employees of different levels, citizens etc, monitoring the user’s behaviour and adapting to the user’s goals that are inferred from the behaviour observed, recommending information that is potentially more relevant or interesting to the specific user, based on the behaviour of all users or a user group.",People watch what you do and suggest things they think you'll like.
"Taking account of the users’ tasks and information needs: When providing different access paths or navigation structures for different user groups, the tasks and information needs of these user groups should be taken into consideration.",Consider users' tasks and needs when giving them different ways to navigate.
Making individualization and adaptation evident: It should be made evident to the user when individualization and/or adaptation are used.,Show when you adapt or personalize things.
"Making user profiles evident: If predefined user profiles or user-specified profiles are used for individualizing or adapting content, the profile currently used should be made evident.",Show which user profile is being used.
"If profiles are used, it is important to provide users with information about this concept and its implications.",Tell users about profiles and what they mean.
"Allowing users to see and change profiles: If user-specified profiles are used, users should be able to see, modify and delete that profile on demand.",Users can view and edit their own profiles.
The System is considered to be down if any user is unable to perform any normal System function and if this failure is attributed to any component of the System other than the workstation.,System is down if users can't do normal things because of a problem with something other than their computer.
Unplanned downtime for the System must not exceed <xx hours/minutes> per <rolling three month period>.,System downtime should be less than xx hours/minutes every 3 months.
The number of incidents of unplanned downtime for the System must not exceed <x> per <rolling three month period>.,System downtime should be less than x times in 3 months.
"In the event of any software or hardware failure, it must be possible to restore the System (with inline synchronization) within no more than <xx> hours.",System can be restored in less than xx hours if there is a failure.
The System must be able to perform a simple search within 5-8 seconds and a advanced search (multiple search criteria) within 10-15 seconds regardless of the storage capacity or number of cases in the system.,System do search fast.
"In this context, performing a search means returning a result list.",Searching gives results.
It does not include retrieving the records themselves.,It doesn't get the records.
"The System must be able to retrieve and display within 5-8 seconds the case which has been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system.",System gets case from last 2 months in 5-8 seconds.
"This requirement is intended to allow for rapid retrieval of frequently-used cases, on the understanding that frequency of use is typically correlated with recent use.",This helps find often-used cases quickly because it's used recently.
"The System must be able to retrieve and display within 20 seconds the case which has not been accessed within the previous 2 months, regardless of storage capacity or number of cases in the system.",System gets case that was not used in last 2 months in under 20 seconds.
This requirement is intended to allow for cases where cases used infrequently are stored on slower media than more active records.,Store less-used files on slow storage.
"The System be scaleable and must not have any features which would preclude use in small or large police stations, with varying numbers of cases handled.",The system should work for all sizes of police stations.
The proposed functional architecture is modeled around centralized deployment to facilitate ease of maintenance and leverage advancement in open standards and web technologies.,The plan is designed for easy fixing and using new technology.
Each of the components contains multiple services as defined by Service Definition.,Each part has many services.
"The system should be designed in manner that operational data is not lost in case of any
                failure of equipment or communication network.",Data won't get lost if something breaks.
"The system should be designed to have satisfactory performance even in Police Stations
                connected on low-bandwidth",System work good even on slow internet at police stations.
"The system should be implemented using Service Oriented Architecture (SOA) and have a
                modular design",Use SOA and modular design.
"The system should be built on a common User Access and Authentication Service to
                ensure Single-Sign on for the end-user",The system should use one login service.
The system should be developed to be deployed in a 3-tier datacenter architecture,System should work in three-layer computer center.
"The system should be designed to have a n-tier architecture with the presentation logic
                separated from the business logic that is again separated from the data-access logic","System has separate parts for showing, doing and getting data."
"The system should be extensible to provide access to the interfaces through PDA’s and
                mobile data terminals",The system should work with PDAs and mobile devices.
The system should support multi-tier authentication where required,System supports multi-tier auth when needed.
"The system should use HTTPS as the communication protocol, i.e., HTTP over an encrypted secure socket layer (SSL)",Use HTTPS for communication.
The system should ensure secure transmission of data over the network and utilize SSL and 2-way digital signatures,System ensures safe data transfer over network using SSL and digital signatures.
Use of AJAX based technology to improve user experience.,Use AJAX for better user experience.
Aggressive page loading to be considered based on the screen and estimate usage pattern,Load fast.
"The search results should be fetched from the database in batches of 10 or 20 maximum
                    as configured within the application",Fetch 10 to 20 results at a time from the database.
The search should fetch only the fields that need to be displayed to the user.,Fetch needed fields.
"Only when
                    the user clicks on a particular record to view its further details should a query be fired to
                    fetch the additional details for this particular record only","When user clicks, get more info."
This Web Store is designed to allow new online store owners a quick and easy means to setup and perform sales and other core business over the internet.,This store helps you set up and sell things online quickly.
This document is intended to flush out the requirements by the customer GAMMA-J.,The document shows what GAMMA-J wants.
The customer can review this document to ensure their needs along with the needs of their user’s are being met in their new Web Store program.,Customer reviews document to meet own and users' needs.
The test and verification team can reference this to ensure the requirements are being meet for the customer.,The team can use this to check if the customer's needs are met.
"Finally, the tech writer will use this to assist with user documentation.",The tech writer will use this for user help.
"This document is designed to be review from beginning to end; however, readers who are new to technical documentation may want to refer to Appendix E: Data Dictionary first.","Read this from start to finish, but beginners should look at Appendix E first."
Have an unambiguous interface to assist in browsing the categories and products,Use a simple way to look at things.
"Account Management (AM) (High Priority): AM allows users to create, edit, and view accounts information.","Create, edit, and see account info."
It also allows the user to login/out of the system.,It lets you log in or out.
Search Engine (SE) (Medium Priority): SE is the tool that assists the user in finding a specific item in the database.,Search engine helps find things in a database.
Product Management (PM) (High Priority): PM allows sales personnel to manage the product line shown on the web site.,Sales can manage products online.
Items from the inventory can be reserved in a virtual cart until the customer decides to purchase them.,Items can be put in a cart and kept there till bought.
Purchasing and Payment (PP) (High Priority): PP is used to approve and transfer payment from buyers when purchasing items in the cart.,Buyers pay for things they want.
System Administrator: Is generally the owner that takes care of maintenance for the Web Store system.,System admin takes care of Web Store maintenance.
Suggested more than one individual can have administrator privilege to ensure advisability.,More people can be administrators for safety.
Full documentation will be provided to the Administrator to assist with this process.,Documentation will be given to the Administrator.
"Once added, sales personnel can add, delete and change descriptions, pictures, prices, and when ready flag items for customers to buy.",Sales people can then add or remove details like pictures and prices.
Customer: A customer is an individual wishing to purchase inventory from GAMMA-J’s Web Store.,Customer buys things from our website.
When creating a new account on Web Store it will default as a customer account.,New accounts are customer accounts by default.
Later if the account needs to be upgraded the administrator can accomplish this via the administrator interface.,The administrator can upgrade the account later using the admin interface.
"Web Store shall operate with the following internet browsers: Microsoft Internet Explorer version 6 and 7, Netscape Communicator Version 4 and 5.","Web Store uses Internet Explorer 6 and 7, and Netscape Communicator 4 and 5."
"Although maintenance documentation will be supplied and the operating system will be tested, the developers of this Web Store are not responsible for the functionality of the operating system.",Developers not responsible for operating system's functionality.
The system shall use SQL based database to store inventory information.,System uses a database to store inventory.
Restricting to SQL allows easy of use and compatibility for Web Store.,Use SQL for easy use and compatibility with Web Store.
Assume Yoggie will freeze the baseline of the USB system after delivery.,Yoggie will freeze the USB system after delivery.
"Customers will be able to create accounts to store their profiles, contact information, purchase history, and confirm orders.","Customers can make accounts for names, addresses, buys, and order checks."
Security methods will ensure that customer accounts remain confidential and resistant to tampering.,Security keeps customer info safe from tampering.
"Customers will be able to create accounts to store their customer profiles, configure contact information, view their purchase history, and confirm orders.",Customers can make accounts to save info.
"Customers will be able to register, log in, and log out of their accounts.","Customers can sign up, login, and logout."
Products will be stored in multi-tiered categories; a category can contain sub categories or products.,Products are grouped by type and can have smaller groups inside them.
"The inventory management will allow for administrators to update the categories, the products placed in categories, and the specific product details.","Admins can update categories, products, and details."
Customers will be able to add and store products for purchase within the shopping cart.,Customers can put things they want to buy in their shopping basket.
Customers will also be able to add products into the shopping cart.,Customers can put products in a cart.
The customer will also be able to add to or remove products from the shopping cart prior to checkout and order confirmation.,Customer can add or remove items before checking out.
Order confirmation will allow the customer to review their order after checkout prior to confirmation.,"Order confirmed, see order before final yes."
Customers will be able to confirm the order after checkout.,Customers can check their order after buying.
"If the order is incorrect, the customer will be able to revise and update their order.",The customer can fix their order if it's wrong.
Customers will be presented with an unambiguous interface to assist in browsing the categories and products.,Customers see a clear screen to help them find things.
Customers will be able to search for products matching their search criteria.,Customers can find what they look for.
The system will feature an API to allow customers to build custom plug-ins to be able to meet their needs.,The system has an API for customers to make custom plugins.
This is a high priority system feature as it ensures the flexibility of the system to be tailored to specific needs.,This helps with special needs.
The system will implement an Application Interface to allow for various plug-ins to interact with the system.,The system will use an interface to let plugins work with it.
"SI-1.2: Through programmatic interface, WebOrder will transmit information of items ordered by customers to the Inventory management system.",WebOrder sends customer orders to inventory.
CI-1: The WebOrder system shall send an e-mail confirmation to the customer that the items they ordered will be delivered to the shipping address along with tracking number.,The WebOrder system sends an email to customers saying their order will be shipped to the right address with a tracking number.
Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute.,The system is ready in under a minute after plugging in the USB.
The system shall be able to handle 1000 customers logged in concurrently at the same time.,System handles 1000 customers at once.
The system shall be able to retrieve 200 products per second.,System gets 200 things a second.
The system shall be able to add product to shopping cart in less than 2ms.,System adds products to cart quickly.
The system shall be able to search for a specified product in less than 1 second.,System finds product quickly.
The system shall be able to email customer and vendor in less than 1 second.,System emails customers and vendors quickly.
The system shall be able to validate credit card in less than 2 seconds.,System validates credit card quickly.
The system shall be able to acquire shipping charges in less than 2 seconds.,System gets shipping costs quickly.
The system shall be able to restore 1000 records per second.,System can restore 1000 records each second.
The system shall automatically compress image files that are too large in size.,System compress big images.
The system shall be easy to use,Use it easily
The system shall be easy to learn,System is easy to learn.
"The system shall utilize help bubbles to assist managers, customers, and administrators",System uses bubbles to help people.
The system shall employ easy to locate buttons,Use simple buttons
The system shall prompt customer with friend easy to read error messages.,System shows customers simple error messages.
"The system shall create logs of all changes, updates, or fixes that are done to the site.",System makes log of all changes.
The system shall be easy to upgrade.,System is easy to upgrade.
The system shall be easy to migrate or backed up via another usb drive.,The system is easy to back up with a USB drive.
The system should be able to run under debug mode.,System can run in debug mode.
The system should be able to run test credit card transactions.,System can run test credit card transactions.
The system should be able to run test shipping orders.,System can run test orders.
The system should be able to create test environment of weborder system.,Create a test environment for the web order system.
"Plug and play is a computer feature that allows the addition of a new device, normally a peripheral, without requiring reconfiguration or manual installation of device drivers.",Add device to computer without setting it up.
"Short for Synchronous DRAM, a type of DRAM that can run at much higher clock speeds than conventional memory.",Fast memory.
"A person playing a specific role, a software system, or a hardware device that interacts with a system to achieve a useful goal.",Something helps something else do something.
"A path through a use case that leads to success, but involves a variation from the normal course in the specifics of the task or of the actor’s interaction with the system.","A special way to do something that works, but is different from usual."
A statement that is believed to be true in the absence of proof or definitive knowledge.,Something we think is true even if we don't know for sure.
A high- level business objective of the organization that builds a product or of a customer who procures it.,Build or buy something.
"A policy, guideline, standard, or regulation that defines or constrains some aspect of the business.",A rule for a business.
Servers work together as one machine to provide increase availability of applications.,Servers work together for more apps.
A restriction that is imposed on the choices available to the developer for the design and construction of a product.,Limit on what you can choose.
An analysis model that depicts a system at a high level of abstraction.,A simple model shows a system.
"A project stakeholder, who requests, pays for, selects, specifies, uses, or receives the output generated by a product.",Someone who gets something from a product.
"An analysis model that depicts the processes, data collections, terminators, and flows among them that characterize the behavior of a business process or of a software system.",An analysis model shows how a business or software works.
"Writers are able to take technical complexities and turn them into simple, understandable text.",Writers make hard things easy to understand.
One who programs computers or designs the system to match the requirements of a system analyst.,Computer programmer or systems designer.
A set of logically related functional requirements that provides a capability to the user and enables the satisfaction of a business objective.,Something helps users achieve goals.
"A model that shows the processing steps and decision points in the logic of a process or of a program, similar to that of an activity diagram.",A model showing how something works step by step.
A statement of a piece of required functionality or a behavior that a system will exhibit under specific conditions.,System does something when certain things happen.
A description of a property or characteristic that the system should exhibit.,The system should have this feature.
Entire order will be delayed until all of the ordered items are in stock.,Order is delayed till all items are available.
A condition that describes the state of the system after a use case is successfully completed.,System status after success.
A condition that must be satisfied or a state the system must be in before a use case may begin.,System must be ready first.
A kind of nonfunctional requirement that describe a quality or property of a system.,System feature
"In computing, Redundant Array of Independent Drives is an umbrella term for computer data storage schemes that divide and / or replicate data among multiple hard drives.",Computer data is stored on many hard drives.
A statement of a customer need or objective or of a condition or capability that a product must possess to satisfy such a need or objective.,A product must have something it needs to work well.
Customer must be able to access the web order system via a web browser with HTTPS.,Customer can use a web browser with HTTPS to access the web order system.
Customer first clicks on the button or link to initiate registration process.,Customer clicks a button to start signing up.
"System prompts the customer to fill out his/her first name, last name, billing address, shipping address, email address, and their password.","System asks for name, address, email, and password."
Customer clicks on the button or link to initiate the login process.,Customer clicks a button.
System prompts the Customer to resend login details to the email account.,System asks customer to send login again by email.
Customer clicks the button or link to initiate the process to edit the account.,Customer edits their account.
"Customer clicks the button or link to ""Add To Cart"".",Customer adds item to cart.
System prompts the Customer to edit the quantity or remove the item from cart.,System asks customer to change amount or take out item from cart.
Customer terminates the web browser window after adding item(s) to cart.,Customer closes browser after buying something.
System recognizes cookie and goes to step 6 (Basic Scenario) with existing items in cart.,System sees cookie and goes to step 6.
Customer clicks the button or link to initiate the checkout process.,Customer clicks a button to start checking out.
System recognizes cookie and goes to step 4 (Basic Scenario).,System sees cookie and goes to step 4.
Login to an Administrator account with the system.,Log in as admin.
Administrator clicks button or link to initiate login process.,Admin clicks button to log in.
System prompts Administrator to resend login details to email account.,System sends login info again by email.
Administrator clicks button or link to initiate logout process.,Admin clicks button to log out.
